증권사,날짜,텍스트
신한투자증권,22.11.14,[Errno 2] No such file or directory: 'rawReport/87_2581.pdf'
신한투자증권,22.11.14,[Errno 2] No such file or directory: 'rawReport/87_2582.pdf'
신한투자증권,22.11.11,[Errno 2] No such file or directory: 'rawReport/87_2583.pdf'
유안타증권,22.11.11,[Errno 2] No such file or directory: 'rawReport/87_2584.pdf'
유안타증권,22.11.11,[Errno 2] No such file or directory: 'rawReport/87_2585.pdf'
하나증권,22.11.11,[Errno 2] No such file or directory: 'rawReport/87_2586.pdf'
하나증권,22.11.11,[Errno 2] No such file or directory: 'rawReport/87_2587.pdf'
유안타증권,22.11.10,[Errno 2] No such file or directory: 'rawReport/87_2588.pdf'
하이투자증권,22.11.10,[Errno 2] No such file or directory: 'rawReport/87_2589.pdf'
하나증권,22.11.10,[Errno 2] No such file or directory: 'rawReport/87_2590.pdf'
미래에셋증권,22.11.09,[Errno 2] No such file or directory: 'rawReport/87_2591.pdf'
유안타증권,22.11.09,[Errno 2] No such file or directory: 'rawReport/87_2592.pdf'
하나증권,22.11.09,[Errno 2] No such file or directory: 'rawReport/87_2593.pdf'
유안타증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2594.pdf'
신한투자증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2595.pdf'
신한투자증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2596.pdf'
신한투자증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2597.pdf'
신한투자증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2598.pdf'
하나증권,22.11.08,[Errno 2] No such file or directory: 'rawReport/87_2599.pdf'
유안타증권,22.11.07,[Errno 2] No such file or directory: 'rawReport/87_2600.pdf'
유안타증권,22.11.07,[Errno 2] No such file or directory: 'rawReport/87_2601.pdf'
한화투자증권,22.11.07,[Errno 2] No such file or directory: 'rawReport/87_2602.pdf'
신한투자증권,22.11.04,[Errno 2] No such file or directory: 'rawReport/87_2603.pdf'
유안타증권,22.11.04,[Errno 2] No such file or directory: 'rawReport/87_2604.pdf'
신한투자증권,22.11.04,[Errno 2] No such file or directory: 'rawReport/87_2605.pdf'
신한투자증권,22.11.04,[Errno 2] No such file or directory: 'rawReport/87_2606.pdf'
유안타증권,22.11.03,[Errno 2] No such file or directory: 'rawReport/87_2607.pdf'
한화투자증권,22.11.03,[Errno 2] No such file or directory: 'rawReport/87_2608.pdf'
교보증권,22.11.03,[Errno 2] No such file or directory: 'rawReport/87_2609.pdf'
하나증권,22.11.03,[Errno 2] No such file or directory: 'rawReport/87_2610.pdf'
