Word,Unnamed: 0_dovish,P(count),N,Unnamed: 0_hawkish,N(conut),P
표,0.0,37.0,1.0,488.0,32.0,1.0
만기,1.0,157.0,1.0,405.0,206.0,1.0
회사채,2.0,440.0,1.0,900.0,421.0,1.0
종목,3.0,24.0,1.0,8.0,101.0,1.0
신용등급,4.0,94.0,1.0,925.0,90.0,1.0
발행,5.0,291.0,1.0,860.0,266.0,1.0
액,6.0,25.0,1.0,958.0,19.0,1.0
달러,7.0,917.0,1.0,611.0,746.0,1.0
대상,8.0,200.0,1.0,361.0,149.0,1.0
원,9.0,51.0,1.0,569.0,72.0,1.0
발전,10.0,91.0,1.0,721.0,48.0,1.0
자료,11.0,189.0,1.0,7.0,119.0,1.0
투자,12.0,1974.0,1.0,325.0,1356.0,1.0
증권,13.0,357.0,1.0,575.0,359.0,1.0
은행,14.0,1344.0,1.0,0.0,843.0,1.0
순매수,15.0,147.0,1.0,1.0,153.0,1.0
상위,16.0,22.0,1.0,2.0,93.0,1.0
순매도,17.0,134.0,1.0,3.0,132.0,1.0
외국인,18.0,807.0,1.0,6.0,664.0,1.0
만기수익률,19.0,16.0,1.0,9.0,87.0,1.0
수량,20.0,35.0,1.0,10.0,177.0,1.0
잔존만기,21.0,41.0,1.0,11.0,174.0,1.0
국고채,22.0,302.0,1.0,13.0,665.0,1.0
통안채,23.0,160.0,1.0,12.0,443.0,1.0
합계,24.0,18.0,1.0,14.0,91.0,1.0
종,25.0,25.0,1.0,16.0,24.0,1.0
변,26.0,58.0,1.0,23.0,31.0,1.0
토의,27.0,189.0,1.0,34.0,181.0,1.0
내용,28.0,456.0,1.0,32.0,417.0,1.0
기관,29.0,304.0,1.0,493.0,217.0,1.0
선정,30.0,47.0,1.0,1255.0,27.0,1.0
신규,31.0,186.0,1.0,209.0,166.0,1.0
신청,32.0,26.0,1.0,935.0,48.0,1.0
동일,33.0,73.0,1.0,1159.0,50.0,1.0
기준,34.0,601.0,1.0,768.0,422.0,1.0
함께,35.0,340.0,1.0,119.0,265.0,1.0
평가,36.0,928.0,1.0,415.0,931.0,1.0
하,37.0,31837.0,1.0,15.0,24851.0,1.0
않,38.0,1724.0,1.0,66.0,1465.0,1.0
구분,39.0,75.0,1.0,291.0,58.0,1.0
이유,40.0,158.0,1.0,243.0,162.0,1.0
대해,41.0,2054.0,1.0,88.0,1724.0,1.0
물,42.0,977.0,1.0,142.0,664.0,1.0
높,43.0,2283.0,1.0,70.0,2244.0,1.0
당,44.0,257.0,1.0,1291.0,151.0,1.0
행과,45.0,22.0,1.0,0.0,0.0,0.0
거래,46.0,429.0,1.0,662.0,300.0,1.0
실적,47.0,196.0,1.0,473.0,178.0,1.0
미미,48.0,18.0,1.0,0.0,0.0,0.0
로,49.0,397.0,1.0,252.0,357.0,1.0
어렵,50.0,664.0,1.0,292.0,466.0,1.0
답변,51.0,1349.0,1.0,101.0,1062.0,1.0
결과,52.0,694.0,1.0,114.0,520.0,1.0
발표,53.0,221.0,1.0,667.0,173.0,1.0
충분히,54.0,146.0,1.0,64.0,91.0,1.0
설명,55.0,586.0,1.0,317.0,419.0,1.0
이전,56.0,162.0,1.0,187.0,178.0,1.0
비율,57.0,173.0,1.0,194.0,125.0,1.0
여부,58.0,249.0,1.0,321.0,175.0,1.0
금융기관,59.0,519.0,1.0,337.0,344.0,1.0
필요,60.0,2628.0,1.0,85.0,2038.0,1.0
수,61.0,86.0,1.0,116.0,95.0,1.0
시,62.0,301.0,1.0,952.0,176.0,1.0
제공,63.0,106.0,1.0,1023.0,39.0,1.0
또,64.0,486.0,1.0,93.0,411.0,1.0
공개시장조작,65.0,28.0,1.0,1490.0,24.0,1.0
되,66.0,16863.0,1.0,44.0,13131.0,1.0
실질,67.0,334.0,1.0,547.0,250.0,1.0
받,68.0,485.0,1.0,1008.0,407.0,1.0
경제,69.0,4977.0,1.0,122.0,3430.0,1.0
이익,70.0,31.0,1.0,286.0,21.0,1.0
직접,71.0,168.0,1.0,646.0,108.0,1.0
얻,72.0,44.0,1.0,1465.0,30.0,1.0
크,73.0,3822.0,1.0,72.0,3274.0,1.0
따르,74.0,1507.0,1.0,166.0,1221.0,1.0
제고,75.0,230.0,1.0,388.0,121.0,1.0
효과,76.0,1093.0,1.0,48.0,635.0,1.0
상당,77.0,261.0,1.0,670.0,182.0,1.0
보,78.0,4874.0,1.0,31.0,3893.0,1.0
사회,79.0,62.0,1.0,1200.0,83.0,1.0
문제,80.0,813.0,1.0,360.0,522.0,1.0
서,81.0,299.0,1.0,282.0,239.0,1.0
별도,82.0,23.0,1.0,1511.0,26.0,1.0
고려,83.0,1053.0,1.0,65.0,697.0,1.0
법,84.0,42.0,1.0,1344.0,23.0,1.0
명확,85.0,24.0,1.0,290.0,21.0,1.0
결정,86.0,646.0,1.0,225.0,459.0,1.0
나,87.0,55.0,1.0,772.0,31.0,1.0
전,88.0,121.0,1.0,660.0,105.0,1.0
같,89.0,1063.0,1.0,81.0,801.0,1.0
사항,90.0,232.0,1.0,50.0,224.0,1.0
미리,91.0,28.0,1.0,1075.0,15.0,1.0
반영,92.0,651.0,1.0,51.0,547.0,1.0
면,93.0,185.0,1.0,605.0,126.0,1.0
있,94.0,7405.0,1.0,106.0,5554.0,1.0
사전,95.0,81.0,1.0,1038.0,60.0,1.0
공표,96.0,16.0,1.0,1254.0,19.0,1.0
바람직,97.0,340.0,1.0,389.0,261.0,1.0
판단,98.0,1156.0,1.0,254.0,823.0,1.0
중,99.0,2399.0,1.0,270.0,1776.0,1.0
개,100.0,37.0,1.0,1145.0,25.0,1.0
줄,101.0,446.0,1.0,177.0,420.0,1.0
특별,102.0,30.0,1.0,1275.0,21.0,1.0
최소,103.0,66.0,1.0,649.0,32.0,1.0
미,104.0,529.0,1.0,752.0,600.0,1.0
발생,105.0,498.0,1.0,77.0,340.0,1.0
수준,106.0,2366.0,1.0,304.0,2090.0,1.0
장기간,107.0,94.0,1.0,95.0,54.0,1.0
유지,108.0,1443.0,1.0,314.0,1060.0,1.0
점,109.0,2426.0,1.0,217.0,1496.0,1.0
행도,110.0,24.0,1.0,1605.0,16.0,1.0
중기,111.0,181.0,1.0,519.0,128.0,1.0
어떠,112.0,57.0,1.0,489.0,115.0,1.0
운용,113.0,581.0,1.0,445.0,422.0,1.0
검토,114.0,188.0,1.0,491.0,102.0,1.0
정책,115.0,1468.0,1.0,99.0,992.0,1.0
협조,116.0,27.0,1.0,0.0,0.0,0.0
해서,117.0,279.0,1.0,471.0,147.0,1.0
구체적,118.0,126.0,1.0,791.0,115.0,1.0
투명,119.0,25.0,1.0,0.0,0.0,0.0
정하,120.0,52.0,1.0,1220.0,50.0,1.0
당부,121.0,293.0,1.0,1319.0,295.0,1.0
심의,122.0,117.0,1.0,789.0,164.0,1.0
원안,123.0,49.0,1.0,939.0,80.0,1.0
가결,124.0,105.0,1.0,795.0,129.0,1.0
의결,125.0,161.0,1.0,792.0,220.0,1.0
붙임,126.0,100.0,1.0,940.0,152.0,1.0
같이,127.0,428.0,1.0,525.0,395.0,1.0
안,128.0,241.0,1.0,267.0,251.0,1.0
생략,129.0,52.0,1.0,1167.0,83.0,1.0
통화정책,130.0,2075.0,1.0,28.0,1657.0,1.0
조,131.0,92.0,1.0,24.0,94.0,1.0
의거,132.0,48.0,1.0,25.0,72.0,1.0
의안,133.0,42.0,1.0,26.0,81.0,1.0
통,134.0,32.0,1.0,873.0,43.0,1.0
책,135.0,27.0,1.0,639.0,27.0,1.0
방향,136.0,913.0,1.0,29.0,626.0,1.0
상정,137.0,35.0,1.0,30.0,44.0,1.0
접수,138.0,20.0,1.0,33.0,19.0,1.0
국내외,139.0,473.0,1.0,35.0,373.0,1.0
경제동향,140.0,196.0,1.0,36.0,131.0,1.0
과,141.0,288.0,1.0,37.0,186.0,1.0
세계,142.0,844.0,1.0,630.0,645.0,1.0
우,143.0,86.0,1.0,953.0,56.0,1.0
미치,144.0,987.0,1.0,182.0,817.0,1.0
영향,145.0,2580.0,1.0,94.0,2261.0,1.0
낮,146.0,1378.0,1.0,149.0,913.0,1.0
국제,147.0,1317.0,1.0,74.0,949.0,1.0
교역,148.0,267.0,1.0,782.0,255.0,1.0
구조,149.0,176.0,1.0,22.0,106.0,1.0
