ngram,P_count,N_count
약세,506,307
영향,884,667
인하,1742,1777
진행,412,229
되,8059,6489
전망,1746,1313
하,21910,19972
강세,563,355
지속,970,579
금리,11068,9384
인상,2515,1558
기조,478,288
시작,227,260
어렵,443,476
시장,1883,1523
국고채,843,513
발행,384,502
정상화,150,76
대내외,131,50
경기,1475,1095
개선,408,309
상승,2958,2199
압력,355,151
높,1868,1416
보,2724,2120
전략,257,120
목표,617,315
매도전략,94,18
제안,275,74
매도,264,185
종가,66,35
수준,1668,1138
채권,643,724
우선,86,71
수급,210,107
악화,198,190
중심,398,266
크,2096,1669
늘,709,601
주,341,336
입찰,92,132
부담,787,542
국채선물,597,314
가격,1138,792
다,2842,2632
여건,251,193
고려,352,252
때,664,583
외국인,688,421
순매도,268,185
전환,397,222
여부,136,98
주목,165,148
변수,98,80
스프레드,432,269
축소,465,317
베팅,99,43
매매,176,69
민평,31,52
적절,267,104
제도,146,123
도입,130,124
앞두,189,129
장기물,148,135
순매수,328,205
강화,386,292
가능성,1223,978
상대적,186,152
함,284,124
제외,168,123
감소,554,348
주식시장,92,108
조정,313,262
주식펀드,34,23
자금,640,551
순유입,42,23
있,3899,3403
추세,206,160
유출,115,62
당분간,143,121
이유,219,223
아직,189,146
회복,536,414
못하,225,246
같,721,686
새롭,93,86
가파르,86,66
성장,523,458
매수,488,298
차익실현,67,21
환매,54,33
추가,728,618
펀드,175,196
성과,48,49
부진,247,224
요인,455,284
미치,305,251
않,1503,1319
규모,603,533
투신,40,26
완화,452,363
추정,153,108
상당히,57,47
낮,1120,1017
유의,63,28
가지,144,156
수치,105,89
가능,304,261
잠재,94,76
흐름,321,233
가장,480,427
깊,34,27
유동성,269,215
초저금리,38,63
증시,284,307
강하,156,156
특히,360,390
한미,80,30
금리갭,111,101
확대,904,616
측면,129,130
매력,92,97
시킬,76,48
국민연금,37,39
최대,403,377
감안,219,152
밝히,724,655
계획,194,162
여력,76,66
경계,184,94
전강후약,38,6
장세,95,26
호재,70,48
작용,303,184
다시,358,287
이어지,420,318
출발,59,68
통화정책,782,506
국채선물시장,82,42
악재,54,48
전,309,267
가운데,447,328
중,1176,989
필요성,80,64
부각,82,51
이,382,267
물가,1975,919
안정,565,298
위하,848,854
노력,145,116
의지,70,50
오,272,273
개최,40,50
일단,47,42
불구,174,108
여전히,282,211
경제,1591,1593
비해,219,170
지나치,31,34
머무르,48,62
불가피,62,55
평가,372,356
국제,277,203
원자재,142,41
비용,264,201
고용,274,195
