날짜	종가	등락률
2024-03-21	3.5290	-0.11
2024-03-20	3.5330	0.56
2024-03-19	3.5130	2.09
2024-03-18	3.4410	-0.66
2024-03-15	3.4640	-0.63
2024-03-14	3.4860	0.43
2024-03-13	3.4710	1.46
2024-03-12	3.4210	0.61
2024-03-11	3.4000	-4.11
2024-03-08	3.5460	5.06
2024-03-07	3.3750	-2.93
2024-03-06	3.4770	7.41
2024-03-05	3.2370	-3.83
2024-03-04	3.3660	-2.80
2024-02-29	3.4630	1.82
2024-02-28	3.4010	-1.84
2024-02-27	3.4650	-2.88
2024-02-26	3.5680	-2.96
2024-02-23	3.6770	0.49
2024-02-22	3.6590	0.93
2024-02-21	3.6250	0.97
2024-02-20	3.5900	-1.21
2024-02-19	3.6340	-0.73
2024-02-16	3.6610	-0.57
2024-02-15	3.6820	1.04
2024-02-14	3.6440	0.66
2024-02-13	3.6200	0.52
2024-02-08	3.6010	2.35
2024-02-07	3.5180	-1.51
2024-02-06	3.5720	-0.02
2024-02-05	3.5730	0.90
2024-02-02	3.5410	-0.89
2024-02-01	3.5730	-1.10
2024-01-31	3.6130	1.91
2024-01-30	3.5450	1.75
2024-01-29	3.4840	-0.57
2024-01-26	3.5040	1.27
2024-01-25	3.4600	0.31
2024-01-24	3.4490	-0.71
2024-01-23	3.4740	-1.39
2024-01-22	3.5230	-0.05
2024-01-19	3.5250	0.51
2024-01-18	3.5070	0.22
2024-01-17	3.4990	0.20
2024-01-16	3.4920	0.54
2024-01-15	3.4730	1.19
2024-01-12	3.4320	1.14
2024-01-11	3.3930	-3.14
2024-01-10	3.5030	2.66
2024-01-09	3.4120	1.00
2024-01-08	3.3780	-0.17
2024-01-05	3.3840	-0.20
2024-01-04	3.3910	-0.90
2024-01-03	3.4220	-3.19
2024-01-02	3.5350	-9.49
2023-12-29	3.9060	8.50
2023-12-28	3.6000	1.23
2023-12-27	3.5560	-2.09
2023-12-26	3.6320	-0.16
2023-12-22	3.6380	0.24
2023-12-21	3.6290	-1.54
2023-12-20	3.6860	-0.88
2023-12-19	3.7190	0.78
2023-12-18	3.6900	1.12
2023-12-15	3.6490	-0.68
2023-12-14	3.6740	0.51
2023-12-13	3.6550	-0.67
2023-12-12	3.6800	-0.86
2023-12-11	3.7120	0.78
2023-12-08	3.6830	1.79
2023-12-07	3.6180	2.90
2023-12-06	3.5160	-0.92
2023-12-05	3.5490	-0.19
2023-12-04	3.5560	0.11
2023-12-01	3.5520	-3.21
2023-11-30	3.6700	2.08
2023-11-29	3.5950	0.39
2023-11-28	3.5810	-0.63
2023-11-27	3.6040	-0.05
2023-11-24	3.6060	0.22
2023-11-23	3.5980	-0.60
2023-11-22	3.6200	0.97
2023-11-21	3.5850	-0.33
2023-11-20	3.5970	-0.11
2023-11-17	3.6010	0.44
2023-11-16	3.5850	0.42
2023-11-15	3.5700	-0.25
2023-11-14	3.5790	0.11
2023-11-13	3.5750	-0.50
2023-11-10	3.5930	0.84
2023-11-09	3.5630	2.26
2023-11-08	3.4840	0.60
2023-11-07	3.4630	-1.78
2023-11-06	3.5260	0.17
2023-11-03	3.5200	0.85
2023-11-02	3.4900	-0.73
2023-11-01	3.5160	0.45
2023-10-31	3.5000	-0.42
2023-10-30	3.5150	0.60
2023-10-27	3.4940	-1.74
2023-10-26	3.5560	-0.14
2023-10-25	3.5610	0.84
2023-10-24	3.5310	-0.19
2023-10-23	3.5380	0.42
2023-10-20	3.5230	0.51
2023-10-19	3.5050	0.37
2023-10-18	3.4920	-0.02
2023-10-17	3.4930	-0.71
2023-10-16	3.5180	-0.67
2023-10-13	3.5420	0.85
2023-10-12	3.5120	1.12
2023-10-05	3.5270	-0.78
2023-10-04	3.5550	-7.15
2023-09-27	3.8290	5.77
2023-09-26	3.6200	-0.27
2023-09-25	3.6300	0.33
